Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Date,Pages,Issue,Volume,Library Catalog,Main Auditory Cue Control Dimensions,Auditory Cue Controls,Haptics General,Haptics Details,Application ,Interaction ,Evaluation Method
journalArticle,2018,"Takashima, Midori",Perceived Weight Is Affected by Auditory Pitch Not Loudness,Perception,,1468-4233,10.1177/0301006618808937,https://journals.sagepub.com/doi/full/10.1177/0301006618808937?casa_token=1GhqR0N8cdkAAAAA%3Ax9eJm4njZ3u2deZGQAUkurh9IrbUhH3pVhgrI89olanmbagk8IQKg1WlgCxNzFFCTd-QksEyuk2zdA,2018-12,1196-1199,12,47,PubMed,Spectral; Amplitude; All,Pitch: Pitch; Loudness: Loudness; On-Off: Auditory cues provided (vs. not provided),kinesthetic,object weight,pure-research,hold-object,subjective rating
conferencePaper,2019,"Brianza, Giada; Tajadura-Jiménez, Ana; Maggioni, Emanuela; Pittera, Dario; Bianchi-Berthouze, Nadia; Obrist, Marianna",As Light as Your Scent: Effects of Smell and Sound on Body Image Perception,Human-Computer Interaction – INTERACT 2019,978-3-030-29390-1,,10.1007/978-3-030-29390-1_10,,2019,179-202,,,Springer Link,Spectral,Spectral Manipulation: Equalization,kinesthetic,body weight (body image),pure-research,walk,subjective rating
conferencePaper,2014,"Tajadura-Jiménez, Ana; Liu, Bin; Bianchi-Berthouze, Nadia; Bevilacqua, Frédéric",Using sound in multi-touch interfaces to change materiality and touch behavior,"Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational",978-1-4503-2542-4,,10.1145/2639189.2639217,https://dl.acm.org/doi/10.1145/2639189.2639217,2014-10-26,199–202,,,ACM Digital Library,"Spectral, All",Pitch: Frequency level; Special Effect or Synthesis Method: Granular Synthesis; Audio Content: Different Audio Source,tactile,"material, active touch",pure-research,touch,subjective rating
journalArticle,2009,"Ro, Tony; Hsu, Johanan; Yasar, Nafi E.; Caitlin Elmore, L.; Beauchamp, Michael S.",Sound enhances touch perception,Experimental Brain Research,,1432-1106,10.1007/s00221-009-1759-8,https://doi.org/10.1007/s00221-009-1759-8,2009-05-01,135-143,1,195,Springer Link,Spectral; Spatial,Pitch: Frequency; Location: Spatial Congruency,tactile,passive touch,pure-research,"listen,feel",forced choice
journalArticle,2003,"Zampini, M.; Guest, S.; Spence, C.",The Role of Auditory Cues in Modulating the Perception of Electric Toothbrushes,Journal of Dental Research,,0022-0345,10.1177/154405910308201116,https://doi.org/10.1177/154405910308201116,2003-11-01,929-932,11,82,SAGE Journals,Spectral; Amplitude,Spectral Manipulation: Equalization; Loudness: Volume,tactile,roughness,toothbrush,use-toothbrush,subjective rating
journalArticle,2005,"Zampini, Massimiliano; Spence, Charles",Modifying the multisensory perception of a carbonated beverage using auditory cues,Food Quality and Preference,,0950-3293,10.1016/j.foodqual.2004.11.004,https://www.sciencedirect.com/science/article/pii/S0950329305000212,2005-10-01,632-641,7,16,ScienceDirect,"Spectral, All, Amplitude; Spatial",Spectral Manipulation: Equalization; Special Effect or Synthesis Method: Playback Speed; Loudness: Sound Level; Distance: Distance,combined,drink carbonation (bubble burst),food,"listen,drink",self-report measurement
journalArticle,2004,"Zampini, Massimiliano; Spence, Charles",The Role of Auditory Cues in Modulating the Perceived Crispness and Staleness of Potato Chips,Journal of Sensory Studies,,1745-459X,10.1111/j.1745-459x.2004.080403.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1745-459x.2004.080403.x,2004,347-363,5,19,Wiley Online Library,"Spectral, Amplitude",Spectral Manipulation: Equalization; Loudness: Loudness,combined,crispiness,food,eat,subjective rating
conferencePaper,2017,"Melaisi, Mohammed; Nguyen, Minh; Uribe, Alvaro; Kapralos, Bill",The effect of sound on haptic fidelity perception,2017 IEEE Global Engineering Education Conference (EDUCON),,,10.1109/EDUCON.2017.7942926,https://ieeexplore.ieee.org/abstract/document/7942926,2017-04,714-717,,,IEEE Xplore,All,Audio Content: Content Congruency; On-Off: Auditory cues provided (vs. not provided),kinesthetic,body movement awareness (drilling),drilling,drilling,"subjective rating, behaviour analysis"
conferencePaper,2021,"Freeman, Euan",Enhancing Ultrasound Haptics with Parametric Audio Effects,Proceedings of the 2021 International Conference on Multimodal Interaction,978-1-4503-8481-0,,10.1145/3462244.3479951,https://dl.acm.org/doi/10.1145/3462244.3479951,2021-10-18,692–696,,,ACM Digital Library,All,Audio Content: Different Audio Source; On-Off: Auditory cues provided (vs. not provided),tactile,roughness,virtual-feedback,move-hand,self-report measurement
journalArticle,2018,"Etzi, Roberta; Ferrise, Francesco; Bordegoni, Monica; Zampini, Massimiliano; Gallace, Alberto",The Effect of Visual and Auditory Information on the Perception of Pleasantness and Roughness of Virtual Surfaces,,,,10.1163/22134808-00002603,https://brill.com/view/journals/msr/31/6/article-p501_1.xml,2018-01-01,,,,brill-com.proxy.library.nyu.edu,All,Audio Content: Different Audio Source; On-Off: Auditory cues provided (vs. not provided),tactile,roughness,roughness-research,use-pen-stylus,subjective rating
conferencePaper,2016,"Cho, Youngjun; Bianchi, Andrea; Marquardt, Nicolai; Bianchi-Berthouze, Nadia",RealPen: Providing Realism in Handwriting Tasks on Touch Surfaces using Auditory-Tactile Feedback,Proceedings of the 29th Annual Symposium on User Interface Software and Technology,978-1-4503-4189-9,,10.1145/2984511.2984550,https://dl.acm.org/doi/10.1145/2984511.2984550,2016-10-16,195–205,,,ACM Digital Library,All,Audio Content: Content Congruency,combined,friction (writing),virtual-writing,use-pen-stylus,"behaviour analysis, identification task, subjective rating"
journalArticle,2020,"Kern, Angelika C.; Ellermeier, Wolfgang",Audio in VR: Effects of a Soundscape and Movement-Triggered Step Sounds on Presence,Frontiers in Robotics and AI,,2296-9144,10.3389/frobt.2020.00020,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.00020/full,2020-02-21,,,7,Frontiers,All,On-Off: Auditory cues provided (vs. not provided),kinesthetic,"body movement awareness, walk-upon material",enhance-presence,use-treadmill,subjective rating
conferencePaper,2019,"Hoppe, Matthias; Karolus, Jakob; Dietz, Felix; Woźniak, Paweł W.; Schmidt, Albrecht; Machulla, Tonja-Katrin",VRsneaky: Increasing Presence in VR Through Gait-Aware Auditory Feedback,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,978-1-4503-5970-2,,10.1145/3290605.3300776,https://dl.acm.org/doi/10.1145/3290605.3300776,2019-05-02,1–9,,,ACM Digital Library,Temporal,Synchrony: Synchrony,kinesthetic,"body movement awareness (gait and posture), body ownership",pure-research,walk,"interview, subjective rating"
conferencePaper,2009,"Vogt, Katharina; Pirrò, David; Kobenz, Ingo; Höldrich, Robert; Eckel, Gerhard",PhysioSonic - evaluated movement sonification as auditory feedback in physiotherapy,Proceedings of the 6th international conference on Auditory Display,978-3-642-12438-9,,10.1007/978-3-642-12439-6_6,https://doi.org/10.1007/978-3-642-12439-6_6,2009-05-18,,,,ACM Digital Library,Spectral; Amplitude,Pitch: Pitch; Loudness: Volume,kinesthetic,body movement awareness,accessibility-research,arm-lifting,behaviour analysis
journalArticle,2001,"Cho, Gilsoo; Casali, John G.; Yi, Eunjou",Effect of fabric sound and touch on human subjective sensation,Fibers and Polymers,,1875-0052,10.1007/BF02875345,https://doi.org/10.1007/BF02875345,2001-12-01,196-202,4,2,Springer Link,Spectral; Amplitude,Pitch: Frequency; Loudness: Sound Pressure Level,tactile,"roughness, thickness",pure-research,touch,subjective rating
conferencePaper,2010,"Csapo, Adam B; Baranyi, Peter",An interaction-based model for auditory substitution of tactile percepts,2010 IEEE 14th International Conference on Intelligent Engineering Systems,,,10.1109/INES.2010.5483833,https://ieeexplore.ieee.org/abstract/document/5483833,2010-05,271-276,,,IEEE Xplore,Spectral; All,"Pitch: Frequency; Harmony: Consonance vs Dissonant; Special Effect or Synthesis Method: Glissandi, Vibrato, Granular Synthesis",tactile,"roughness, stiffness, stickiness",sensory-substitution,finger-tapping,pilot
conferencePaper,2009,"Suzuki, Yuika; Gyoba, Jiro",Effects of sounds on tactile roughness depend on the congruency between modalities,World Haptics 2009 - Third Joint EuroHaptics conference and Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems,,,10.1109/WHC.2009.4810857,https://ieeexplore.ieee.org/document/4810857,2009-03,150-153,,,IEEE Xplore,Amplitude; All,Loudness: Sound Pressure Level; Audio Content: Content Congruency,tactile,roughness,roughness-research,touch,forced choice
conferencePaper,2014,"Cavalieri, Lorenzo; Germani, Michele; Mengoni, Maura",Multi-modal Interaction System to Tactile Perception,"Virtual, Augmented and Mixed Reality. Designing and Developing Virtual and Augmented Environments",978-3-319-07458-0,,10.1007/978-3-319-07458-0_3,,2014,25-34,,,Springer Link,All,On-Off: Auditory cues provided (vs. not provided),tactile,material,haptic-interface,touch,idenfitication
conferencePaper,2018,"Lugtenberg, Geert; Hürst, Wolfgang; Rosa, Nina; Sandor, Christian; Plopski, Alexander; Taketomi, Takafumi; Kato, Hirokazu",Multimodal Augmented Reality – Augmenting Auditory-Tactile Feedback to Change the Perception of Thickness,MultiMedia Modeling,978-3-319-73603-7,,10.1007/978-3-319-73603-7_30,,2018,369-380,,,Springer Link,Spectral; Amplitude; All,Pitch: Frequency; Audio Content: Different Audio Source; On-Off: Masking,combined,"thickness, material (hollow or solid)",pure-research,finger-tapping,forced choice
conferencePaper,2006,"Kyung, Ki-Uk; Kwon, Dong-Soo",Multi-sensory Perception of Roughness: Empirical Study on Effects of Vibrotactile Feedback and Auditory Feedback in Texture Perception,Advances in Artificial Reality and Tele-Existence,978-3-540-49779-0,,10.1007/11941354_41,,2006,406-415,,,Springer Link,All,Audio Content: Different Audio Source,tactile,roughness,roughness-research,touch,subjective rating
conferencePaper,2007,"Kim, Seung-Chan; Kyung, Ki-Uk; Kwon, Dong-Soo",The Effect of Sound on Haptic Perception,Second Joint EuroHaptics Conference and Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems (WHC'07),,,10.1109/WHC.2007.110,https://ieeexplore.ieee.org/document/4145200,2007-03,354-360,,,IEEE Xplore,Spectral; All,Spectral Manipulation: Equalization; Audio Content: Different Audio Source,tactile,roughness (ruggedness),pure-research,touchscreen,subjective rating
journalArticle,2003,"Huang, G.; Metaxas, Dimitris; Govindaraj, Muthu",Feel the fabric: an audio-haptic interface,,,1-58113-659-5,,,2003-01-01,52-61,,,ResearchGate,All,On-Off: Auditory cues provided (vs. not provided),tactile,"roughness, friction (for rubbing fabric)",haptic-interface,rub-fabric,subjective rating
journalArticle,2012,"Giordano, Bruno L.; Visell, Yon; Yao, Hsin-Yun; Hayward, Vincent; Cooperstock, Jeremy R.; McAdams, Stephen","identification task of walked-upon materials in auditory, kinesthetic, haptic, and audio-haptic conditionsa)",The Journal of the Acoustical Society of America,,0001-4966,10.1121/1.3699205,https://doi.org/10.1121/1.3699205,2012-05-04,4002-4012,5,131,Silverchair,All,On-Off: Auditory cues provided (vs. not provided),kinesthetic,walk-upon material,accessibility-research,"walk,listen",identification task
journalArticle,2014,"Demattè, M. Luisa; Pojer, Nicola; Endrizzi, Isabella; Corollaro, Maria Laura; Betta, Emanuela; Aprea, Eugenio; Charles, Mathilde; Biasioli, Franco; Zampini, Massimiliano; Gasperi, Flavia",Effects of the sound of the bite on apple perceived crispness and hardness,Food Quality and Preference,,0950-3293,10.1016/j.foodqual.2014.05.009,https://www.sciencedirect.com/science/article/pii/S0950329314000986,2014-12-01,58-64,,38,ScienceDirect,Spectral; All,Spectral Manipulation: Equalization; On-Off: Microphone on/off,combined,"stiffness, crispiness (eating apple)",food,eat,"pilot, self-report measurement"
journalArticle,2016,"Endo, Hiroshi; Ino, Shuichi; Fujisaki, Waka",The effect of a crunchy pseudo-chewing sound on perceived texture of softened foods,Physiology & Behavior,,0031-9384,10.1016/j.physbeh.2016.10.001,https://www.sciencedirect.com/science/article/pii/S0031938416303493,2016-12-01,324-331,,167,ScienceDirect,All,On-Off: Auditory cues provided (vs. not provided),,food texture,food,eat,subjective rating
journalArticle,2017,"Endo, Hiroshi; Ino, Shuichi; Fujisaki, Waka",Texture-dependent effects of pseudo-chewing sound on perceived food texture and evoked feelings in response to nursing care foods,Appetite,,0195-6663,10.1016/j.appet.2017.05.051,https://www.sciencedirect.com/science/article/pii/S0195666317303367,2017-09-01,493-501,,116,ScienceDirect,All,On-Off: Auditory cues provided (vs. not provided),,food texture,food,eat,subjective rating
journalArticle,2011,"Sedda, Anna; Monaco, Simona; Bottini, Gabriella; Goodale, Melvyn A.",Integration of visual and auditory information for hand actions: preliminary evidence for the contribution of natural sounds to grasping,Experimental Brain Research,,1432-1106,10.1007/s00221-011-2559-5,https://doi.org/10.1007/s00221-011-2559-5,2011-03-01,365-374,3,209,Springer Link,Spectral; Amplitude,Pitch: Size/weight of the object; Timbre/Texture: Size/weight of sound source; Loudness: Loudness,kinesthetic,object shape (size),pure-research,grab-object,behaviour analysis
journalArticle,2007,"Suzuki, Yuika; Gyoba, Jiro",EFFECTS OF TASK-IRRELEVANT SOUNDS ON THE TACTILE PERCEPTION OF ROUGHNESS,Proceedings of Fechner Day,,,,https://proceedings.fechnerday.com/index.php?journal=proceedings&page=article&op=view&path[]=316,2007,,,23,proceedings.fechnerday.com,All,Audio Content: Different Audio Source,tactile,roughness,roughness-research,touch,self-report measurement
conferencePaper,2011,"Lai, Chi-Hsia; Niinimäki, Matti; Tahiroglu, Koray; Kildal, Johan; Ahmaniemi, Teemu",Perceived physicality in audio-enhanced force input,Proceedings of the 13th international conference on multimodal interfaces,978-1-4503-0641-6,,10.1145/2070481.2070533,https://dl.acm.org/doi/10.1145/2070481.2070533,2011-11-14,287–294,,,ACM Digital Library,Spectral; Amplitude; Temporal; Spatial,Pitch: Frequency; Spectral Manipulation: Filter; Loudness: Loudness; Envelop: Attack & Decay; Location: Location/Position; Reverberation: Reverberation,combined,active touch,pure-research,finger-tapping,"interview, self-report description"
journalArticle,2013,"Turchet, Luca; Serafin, Stefania; Cesari, Paola",Walking pace affected by interactive sounds simulating stepping on different terrains,ACM Trans. Appl. Percept.,,1544-3558,10.1145/2536764.2536770,https://dl.acm.org/doi/10.1145/2536764.2536770,2013-10-01,23:1–23:14,4,10,ACM Digital Library,All,Audio Content: Different Audio Source; On-Off: Auditory cues provided (vs. not provided),kinesthetic,walk-upon material,pure-research,walk,"behaviour analysis, subjective rating"
conferencePaper,2008,"Ooshima, Sayaka; Hashimoto, Yuki; Ando, Hideyuki; Watanabe, Junji; Kajimoto, Hiroyuki",Simultaneous Presentation of Tactile and Auditory Motion on the Abdomen to Realize the Experience of “Being Cut by a Sword”,"Haptics: Perception, Devices and Scenarios",978-3-540-69057-3,,10.1007/978-3-540-69057-3_86,,2008,681-686,,,Springer Link,Spatail,Location: Location/Position,tactile,passive touch (be cut by a sword),pure-research,listen,cross-modal matching
